# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# MOND individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: stellar disk mass-to-light ratio (YD).
# 3rd column: stellar bulge mass-to-light ratio (YB).
# 4th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 5th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 6th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	YD                  	YB                 	Chi2              	Chi2eff           	N.Data
UGC06399   	0.599231574827509   	--                 	2.748941356204838 	3.367125463581996 	9     
UGC06446   	0.9915912719811428  	--                 	15.317525205059209	24.159982211021347	17    
UGC06614   	0.4181924428840729  	0.37789576259944785	8.355810464976916 	12.989120464920163	13    
UGC06667   	2.2136919471616783  	--                 	26.998267289515596	68.74888522550431 	9     
UGC06786   	1.1660033694620509  	0.5261204991922321 	573.8887393374627 	587.7369131409546 	45    
UGC06787   	1.48501016869686    	0.4671307524958712 	1713.378941663876 	1736.9109359854442	71    
UGC06818   	0.2502201417959717  	--                 	23.693041497172594	32.731947762002655	8     
UGC06917   	0.5658463186261151  	--                 	10.199308430349745	10.487983498351426	11    
UGC06923   	0.3700556874529448  	--                 	4.5256842082727875	6.234009563770263 	6     
UGC06930   	0.39765247046634894 	--                 	17.95974785248111 	18.949102722563776	10    
UGC06983   	0.7295170980379151  	--                 	18.925933701638655	21.617681571809257	17    
UGC07089   	0.1987049847905845  	--                 	7.733798422729926 	23.794755748431548	12    
UGC07125   	0.05294704936556879 	--                 	868.4761874998236 	963.5636962547412 	13    
UGC07151   	0.4394479750536907  	--                 	35.12889916608159 	35.443199968458174	11    
UGC07232   	0.4900000355912352  	--                 	6.43986907853442  	6.447567197955119 	4     
UGC07261   	0.49569901187760096 	--                 	4.636555958183823 	4.637963671926355 	7     
UGC07323   	0.3000149164458904  	--                 	3.357199119312589 	8.27792785034438  	10    
UGC07399   	2.2318678739461864  	--                 	40.856280015491635	83.06709105982715 	10    
UGC07524   	0.33214965049263234 	--                 	109.43269823237166	112.58816034900663	31    
UGC07559   	0.23315913382831294 	--                 	38.11041618847661 	49.08754947795974 	7     
UGC07577   	0.279817781483737   	--                 	109.56272074437548	115.91789428633948	9     
UGC07603   	0.7788832542220406  	--                 	34.29301320035047 	37.998729152951455	12    
UGC07690   	0.42267543812092745 	--                 	11.574773206920112	12.10713303935492 	7     
UGC07866   	0.31163516335230035 	--                 	15.549891902622521	19.765667878155668	7     
UGC08286   	1.0460226510147652  	--                 	38.62908776826052 	48.905669802357664	17    
UGC08490   	0.983404790109131   	--                 	7.3984271439102205	16.02805691809587 	30    
UGC08550   	0.6511972112896391  	--                 	14.998748835772258	16.315333602318578	11    
UGC08699   	0.664933889020577   	0.7256892064157356 	33.842260650778066	36.057380519268534	41    
UGC08837   	0.1236882559672954  	--                 	62.133390843576436	98.93478645764395 	8     
UGC09037   	0.17316501559792646 	--                 	33.61199009965305 	54.818922109317285	22    
UGC09133   	0.2910329223039353  	0.7775774332409549 	2034.6705142185383	2041.4620296548696	68    
UGC09992   	0.3160102338433261  	--                 	25.865198701480306	29.836006441143567	5     
UGC10310   	0.4193113109730874  	--                 	14.957718273543481	15.541925144161095	7     
UGC11455   	0.43870971146964155 	--                 	162.2403759089493 	162.56291762340723	36    
UGC11557   	0.14013663172140445 	--                 	26.485322336550688	57.0019234259274  	12    
UGC11820   	0.1040890264315926  	--                 	889.4834640365093 	935.9365568428308 	10    
UGC11914   	0.6875859018842765  	0.95807970230405   	195.0456898946998 	201.09102677032502	65    
UGC12506   	0.8572146168680882  	--                 	78.59458820618299 	84.07578520781996 	31    
UGC12632   	0.3814906645390187  	--                 	95.20672518543607 	96.58702330894533 	15    
UGC12732   	0.5628549047028136  	--                 	59.322158204888396	59.58662618636362 	16    
UGCA442    	0.47931558776385896 	--                 	35.38810987640802 	35.42177644356698 	8     
UGCA444    	0.40273696342186743 	--                 	70.26309184726654 	71.14572415884109 	36    
