# Normalized additional velocity distribution: 
#   testing the radial profile of dark matter halos and MOND.
# by D. C. Rodrigues, A. Hernandez-Arboleda, A. Wojnar
# 
# NFW individual fits for 153 SPARC galaxies with Gaussian priors on YD and YB.
# 1st column: galaxy name.
# 2nd column: scale radius (r_s) [kpc].
# 3rd column: normalized scale radius (rsn = rs / rmax).
# 4th column: logarithm of the density rho_s (log rhos) [Msun / kpc^3].
# 5th column: stellar disk mass-to-light ratio (YD).
# 6th column: stellar bulge mass-to-light ratio (YB).
# 7th column: minimum chi-squared value (Chi2) (- 2 log likelihood + constant).
# 8th column: minimum effective chi-squared value (- 2 log posterior + constant).
# 9th column: number of data points for the galaxy circular velocity (N.Data).
# 
# Galaxy     	rs                 	rsn                 	log rhos          	YD                 	YB                 	Chi2               	Chi2eff             	N.Data
UGC05721   	2.4296804497457014 	0.36048671361212187 	7.9203849690892065	0.44963211090398253	--                 	19.767226974675822 	19.979864947525577  	23    
UGC05750   	67.81063284664728  	2.967642575345614   	5.340193384257849 	0.5295960229004509 	--                 	8.922340403946482  	8.984714021365976   	11    
UGC05764   	2.733897635373875  	0.7552203412635015  	7.524254576543213 	0.5055718982777767 	--                 	53.86748844351209  	53.86980486511121   	10    
UGC05829   	145.79411244341438 	21.09900324796156   	5.098831119560035 	0.5025201174008337 	--                 	0.7671552278241944 	0.7676319724400766  	11    
UGC05918   	7.267447464530412  	1.6294725256794647  	6.553860836425884 	0.502088690643664  	--                 	0.8778698133873577 	0.8781975808150395  	8     
UGC05986   	48.10240729779011  	5.111839245248683   	6.111231145141011 	0.7755478227397795 	--                 	66.5721018434677   	70.20640860911007   	15    
UGC06399   	26.74293973480735  	3.406743915262083   	6.220293235516322 	0.5157802637577034 	--                 	4.569896711509915  	4.588107446370705   	9     
UGC06446   	5.423933179743083  	0.5307175322644896  	7.227839241659916 	0.5029076673216001 	--                 	3.2190520011637602 	3.2196861607702054  	17    
UGC06614   	99.24755362014699  	1.5365776996461833  	5.658362885333331 	0.4703292329187901 	0.5216044367639755 	2.5975353348337507 	3.0379066530044825  	13    
UGC06667   	20.05714389812766  	2.5550501781054344  	6.416501912547664 	0.5027656466355831 	--                 	9.14606005791059   	9.146633943476338   	9     
